AccessionYear,Object Name,Culture,Dynasty,Artist Display Name,Artist Nationality,Artist Begin Date,Artist End Date,year,Classification
1986,Hanging scroll,China,Unknown,Xiao Zhunxian,Chinese,1865,1949,1932,Paintings
1986,Hanging scroll,China,Unknown,Xiao Zhunxian,Chinese,1865,1949,1934,Paintings
1986,Folding fan,China,Unknown,Chen Handi,Chinese,1874,1929,1936,Paintings
1986,Folding fan mounted as an album leaf,China,Unknown,Fan Haolin,Chinese,1885,1962,1934,Paintings
1986,Folding fan mounted as an album leaf,China,Unknown,Wu Zheng,Chinese,1878,1949,1932,Paintings
1986,Hanging scroll,China,Unknown,Chen Shuren,Chinese,1883,1948,1947,Paintings
1986,Hanging scroll,China,Unknown,Gao Jianfu,Chinese,1879,1951,1931,Paintings
1986,Hanging scroll,China,Unknown,Gao Jianfu,Chinese,1879,1951,1934,Paintings
1986,Hanging scroll,China,Unknown,Gao Jianfu,Chinese,1879,1951,1945,Paintings
1986,Folding fan,China,Unknown,Gao Yehou,Chinese,1878,1952,1943,Paintings
1986,Folding fan,China,Unknown,Zheng Chang,Chinese,1894,1952,1945,Paintings
1986,Folding fan,China,Unknown,Wang Yaoqing,Chinese,1881,1954,1924,Paintings
1986,Folding fan,China,Unknown,Feng Chaoran,Chinese,1882,1954,1933,Paintings
1986,Folding fan mounted as an album leaf,China,Republic period,Chen Yunzhang,Chinese,1907,1954,1940,Paintings
1986,Folding fan mounted as an album leaf,China,Unknown,Zhao Yunhe,Chinese,1874,1955,1953,Paintings
1986,Folding fan mounted as an album leaf,China,Unknown,Zhao Yunhe,Chinese,1874,1955,1939,Paintings
1986,Album,China,Unknown,Huang Binhong,Chinese,1865,1955,1925,Paintings
1986,Album,China,Unknown,Huang Binhong,Chinese,1865,1955,1948,Paintings
1986,Hanging scroll,China,Unknown,Zhang Shuqi,Chinese,1899,1957,1948,Paintings
1986,Hanging scroll,China,Unknown,Zhang Shuqi,Chinese,1899,1957,1900,Paintings
1986,Hanging scroll,China,Unknown,Zhang Shuqi,Chinese,1899,1957,1939,Paintings
1986,Hanging scroll,China,Unknown,Qi Baishi,Chinese,1864,1957,1900,Paintings
1986,Hanging scroll,China,Unknown,Qi Baishi,Chinese,1864,1957,1900,Paintings
1986,Hanging scroll,China,Unknown,Qi Baishi,Chinese,1864,1957,1927,Paintings
1986,Hanging scroll,China,Unknown,Qi Baishi,Chinese,1864,1957,1935,Paintings
1986,Hanging scroll,China,Unknown,Qi Baishi,Chinese,1864,1957,1940,Paintings
1986,Hanging scroll,China,Unknown,Qi Baishi,Chinese,1864,1957,1900,Paintings
